	only1nabil	TorontoStar	AcadieSon	ElDiabloZoe	RyersonU	TetraRyerson	sageryerson	sweetiepiecat	mathryerson	TheCatTweeting	CatsRuleNews	AndreasKalo	
abcnetwork	0.04472241523661803	0.05099548351778868	0.05458094956936819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05410945533178491	
abcnews	0.025926037818329296	0.0333615312733197	0.025341155157206658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03246567319907095	
abdeslam	0.0025926037818329293	0.002859559823427403	0.0019493196274774352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023189766570764964	
abdomen	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00431274059526405	0.0	0.0038843034398786075	0.0	0.0	
abduct	0.02916679254562046	0.028595598234274024	0.03801173273580999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02318976657076496	
abducted	0.011666717018248183	0.009531866078091342	0.007797278509909741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01236787550440798	
abduction	0.011666717018248183	0.011914832597614177	0.013645237392342047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006956929971229488	
abdullahsaylam	0.0	0.0	0.0	0.10895481600800282	0.0	0.0	0.0	0.05354798197951363	0.0	0.05144363460023289	0.054412364728873334	0.0	
abdvllfirin	0.0	0.0	0.0	0.0	0.004204055915680897	0.14640066552614878	0.0	0.0	0.003418856296076641	0.0	0.0	0.0	
abe	0.03500015105474455	0.021923291979610085	0.017543876647296917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02241677435173946	
abel	0.0019444528363746973	0.0023829665195228356	0.0019493196274774352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0038649610951274936	
abennnny	0.01361116985462288	0.014297799117137012	0.011695917764864611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009275906628305986	
abercrombie	0.031759396327453386	0.028595598234274024	0.022417175715990504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02473575100881596	
abhorrent	0.0	0.0018041813747178912	0.00368965125658903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.754075805248238E-4	
ability	0.002453626297770418	0.001503484478931576	0.001844825628294515	0.0	0.0	0.0	0.0	0.002919692660766465	0.0	9.015922139206955E-4	0.0	9.754075805248238E-4	
abin	0.007129660400040556	0.004289339735141104	0.0058479588824323055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00618393775220399	
aboard	0.018148226472830507	0.011914832597614177	0.018518536461035635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013913859942458976	
