only1nabil	TorontoStar	AcadieSon	ElDiabloZoe	RyersonU	TetraRyerson	sageryerson	sweetiepiecat	mathryerson	TheCatTweeting	CatsRuleNews	AndreasKalo
0.001944453	0.00142978	9.75E-04	0	0	0	0	0	0	0	0	7.73E-04
0.002114177	0	0	0	0	0	0	0	0	0	0	0.001260696
0.01361117	0.014774392	0.010721258	0	0	0	0	0	0	0	0	0.012367876
0.001635751	0.002104878	0.001229884	0	0	0	0	0.00417099	0	0.005109023	0	0.00390163
0.015555623	0.014774392	0.007797279	0	0	0	0	0	0	0	0	0.014686852
0	0	0	0	0.017136939	0	0	0	0.013256423	0	0	0
0.016203774	0.012868019	0.008771938	0	0	0	0	0	0	0	0	0.012367876
0.014259321	0.011914833	0.017543877	0	0	0	0	0	0	0	0	0.016232837
0.003680439	0.004209757	0.001844826	0	0	0	0	0.005213737	0	0.003305838	0	0.002438519
0.050555774	0.040987024	0.055555609	0	0	0	0	0	0	0	0	0.032465673
0.007231034	0.006836229	0.007766927	0	6.13E-04	0	0	0	0	0	0	0.004927893
0.003888906	0.0071489	0.005847959	0	0	0	0	0	0	0	0	0.007729922
0.004537057	0.00571912	0.005847959	0	0	0	0	0	0	0	0	0.002318977
0.030463094	0.029548785	0.036062413	0	0	0	0	0	0	0	0	0.017778821
0.001944453	0.00428934	0.00194932	0	0	0	0	0	0	0	0	7.73E-04
0.067407698	0.088646355	0.076998125	0	0	0	0	0	0	0	0	0.082710167
0.00712966	0.006672306	0.007797279	0	0	0	0	0	0	0	0	0.008502914
0.00712966	0.006672306	0.003898639	0	0	0	0	0	0	0	0	0.003864961
0.005833359	0.007625493	0.005847959	0	0	0	0	0	0	0	0	0.006183938
0.005185208	0.007625493	0.005847959	0	0	0	0	0	0	0	0	0.009275907
0.003240755	0.00428934	0.004873299	0	0	0	0	0	0	0	0	0.002318977
0.017500076	0.023353072	0.025341155	0	0	0	0	0	0	0	0	0.014686852
0.01291256	0.011773506	0.01708724	0	0.00142958	0	0	0	0	0	0	0.017247627
0.002592604	0.003336153	0.002923979	0	0	0	0	0	0	0	0	0.001545984
0.003240755	0.001906373	0.004873299	0	0	0	0	0	0	0	0	0.003091969
0.014259321	0.018587139	0.015594557	0	0	0	0	0	0	0	0	0.017005829
0.002453626	9.02E-04	0.001229884	0	0	0	0	6.26E-04	0	0.002103715	0	9.75E-04
0.002862564	0.001503484	0.003689651	0	0	0	0	6.26E-04	0	0.001202123	0	0.001950815
0.002582512	0.004177696	0.002330078	0	8.17E-04	0	0	0	0	0	0	0.00554388
0.001944453	0.00285956	9.75E-04	0	0	0	0	0	0	0	0	0.002318977
0.002044689	3.01E-04	0.002459768	0	0.004689139	0	0	0	0.005128284	0	0	4.88E-04
0	0.00155458	0	0	0	0	0	0	0	0	0	0.001260696
4.09E-04	9.02E-04	0.001844826	0	0.026032808	0	0	0	0.01880371	0	0	9.75E-04
0	0	0	0	0.010449353	0	0	0	0.013256423	0	0	0
0.001296302	0.001906373	9.75E-04	0	0	0	0	0	0	0	0	0.001545984
0.011859194	0.010223694	0.014143663	0	0.003880667	0	0	0	0.006837713	0	0	0.015606521
0	0	0	0	0.013375172	0	0	0	0.013256423	0	0	0
0	0	0	0	0	0	0	0.002085495	0	0.003606369	0.006241887	0
0	0	0	0	0.027586291	0	0	0	0.013256423	0	0	0
0.071296604	0.072918775	0.078947445	0	0	0	0	0	0	0	0	0.066477331
4.09E-04	0.001503484	0.001844826	0	0	0	0	0.001668396	0	9.02E-04	0	4.88E-04
0.003240755	0.00142978	9.75E-04	0	0	0	0	0	0	0	0	0.003091969
