	jtimberlake	rbruch2010	vintagedrakgon	ProwrestlingNe5	
alright	0.005664918834000759	0.0	0.0	0.0	
alsicebucketchallenge	0.004248689125500569	0.0	0.0	0.0	
alsublet	0.0014162297085001897	0.0	0.0	0.0	
altonsterling	0.0028324594170003794	0.0	0.0	0.0	
alwayshopeinri	0.0014162297085001897	0.0	0.0	0.0	
aly	0.0014162297085001897	0.0	0.0	0.0	
alyssaedoo	0.0014162297085001897	0.0	0.0	0.0	
amanda	0.0014162297085001897	0.0	0.0	0.0	
amandahewgley	0.0014162297085001897	0.0	0.0	0.0	
amandasanford	0.0014162297085001897	0.0	0.0	0.0	
amardeepx	0.0014162297085001897	0.0	0.0	0.0	
amas	0.021243445627502845	0.0	0.0	0.0	
amasyou	0.0014162297085001897	0.0	0.0	0.0	
amaze	0.0028324594170003794	0.0	0.0	0.0	
amazing	0.0276164793157537	0.050032544098567694	0.0	0.0	
amazingly	0.0028324594170003794	0.0	0.0	0.0	
amazonmp	0.004248689125500569	0.0	0.0	0.0	
amazonmusic	0.009913607959501329	0.0	0.0	0.0	
ambassador	0.0014162297085001897	0.0	0.0	0.0	
amberharvx	0.0014162297085001897	0.0	0.0	0.0	
amberosiexo	0.0014162297085001897	0.0	0.0	0.0	
amelia	0.0014162297085001897	0.0	0.0	0.0	
amen	0.004248689125500569	0.0	0.0	0.0	
america	0.0070811485425009485	0.0	0.0	0.0	
american	0.0028324594170003794	0.0	0.0	0.0	
americanexpress	0.0014162297085001897	0.0	0.0	0.0	
americans	0.0028324594170003794	0.0	0.0	0.0	
americathe	0.0014162297085001897	0.0	0.0	0.0	
amigo	0.0014162297085001897	0.0	0.0	0.0	
amigos	0.0014162297085001897	0.0	0.0	0.0	
amirah	0.0014162297085001897	0.0	0.0	0.0	
amlyrics	0.0014162297085001897	0.0	0.0	0.0	
amonies	0.0014162297085001897	0.0	0.0	0.0	
amp	0.0014162297085001897	0.0	0.0	0.0	
amy	0.005664918834000759	0.0	0.0	0.0	
amyrichburg	0.0014162297085001897	0.0	0.0	0.0	
anaheim	0.0014162297085001897	0.0	0.0	0.0	
andrea	0.0014162297085001897	0.0	0.0	0.0	
andreamandell	0.0014162297085001897	0.0	0.0	0.0	
andretaylorjr	0.0014162297085001897	0.0	0.0	0.0	
angeles	0.0070811485425009485	0.0	0.0	0.0	
angels	0.0014162297085001897	0.0	0.0	0.0	
angryalligator	0.0014162297085001897	0.0	0.0	0.0	
anna	7.081148542500948E-4	0.0	0.04522487634856962	0.0	
annaaleisha	0.0014162297085001897	0.0	0.0	0.0	
annakendrick	0.024075905044503226	0.0	0.0	0.0	
annarenshaw	0.0014162297085001897	0.0	0.0	0.0	
annie	0.0014162297085001897	0.0	0.0	0.0	
anniekyle	0.0014162297085001897	0.0	0.0	0.0	
anniversary	0.0028324594170003794	0.025016272049283847	0.0	0.0	
announced	7.081148542500948E-4	0.0	0.0	0.16722938765284714	
announcedjtimberlake	0.0014162297085001897	0.0	0.0	0.0	
announcement	0.0014162297085001897	0.0	0.0	0.0	
answer	0.005664918834000759	0.0	0.0	0.0	
answered	0.0014162297085001897	0.0	0.0	0.0	
answering	0.0014162297085001897	0.0	0.0	0.0	
anthonymandler	0.0014162297085001897	0.0	0.0	0.0	
anton	0.0014162297085001897	0.0	0.0	0.0	
antonio	0.0014162297085001897	0.0	0.0	0.0	
anujpops	0.0014162297085001897	0.0	0.0	0.0	
anytime	0.0014162297085001897	0.0	0.0	0.0	
apacer	0.0014162297085001897	0.0	0.0	0.0	
apologies	0.0014162297085001897	0.0	0.0	0.0	
apologize	0.0014162297085001897	0.0	0.0	0.0	
aposta	0.0014162297085001897	0.0	0.0	0.0	
appearing	0.0014162297085001897	0.0	0.0	0.0	
apple	0.0028324594170003794	0.0	0.0	0.0	
applemusic	0.015578526793502087	0.0	0.0	0.0	
applewatch	0.0	0.050032544098567694	0.0	0.0	
appreciate	0.004248689125500569	0.0	0.0	0.0	
appreciated	0.0028324594170003794	0.0	0.0	0.0	
appreciation	0.0028324594170003794	0.0	0.0	0.0	
approach	0.0	0.050032544098567694	0.0	0.0	
approve	0.0028324594170003794	0.0	0.0	0.0	
approving	0.0014162297085001897	0.0	0.0	0.0	
april	0.0	0.0	0.0	0.11148625843523143	
aprilinoctober	0.0014162297085001897	0.0	0.0	0.0	
arcade	0.0014162297085001897	0.0	0.0	0.0	
arctic	0.0014162297085001897	0.0	0.0	0.0	
arena	0.0028324594170003794	0.0	0.0	0.0	
areyouready	0.0014162297085001897	0.0	0.0	0.0	
argentina	0.0014162297085001897	0.0	0.0	0.0	
argo	0.0014162297085001897	0.0	0.0	0.0	
argue	0.004248689125500569	0.0	0.0	0.0	
argument	0.0014162297085001897	0.0	0.0	0.0	
aristocratic	0.0014162297085001897	0.0	0.0	0.0	
arm	0.0014162297085001897	0.0	0.0	0.0	
arnoldpalmer	0.0014162297085001897	0.0	0.0	0.0	
arrived	7.081148542500948E-4	0.025016272049283847	0.0	0.0	
art	0.008497378251001138	0.0	0.0	0.0	
artbasel	0.0028324594170003794	0.0	0.0	0.0	
artest	0.0014162297085001897	0.0	0.0	0.0	
article	0.0014162297085001897	0.0	0.0	0.0	
artist	0.022659675336003035	0.0	0.0	0.0	
artistoftheyear	0.0014162297085001897	0.0	0.0	0.0	
artists	0.004248689125500569	0.0	0.0	0.0	
artperezjr	0.0014162297085001897	0.0	0.0	0.0	
artperezjrsaysomething	0.0014162297085001897	0.0	0.0	0.0	
aryannaplatt	0.0014162297085001897	0.0	0.0	0.0	
asakidithought	0.0	0.0	0.09044975269713924	0.0	
asaprockytrill	0.0014162297085001897	0.0	0.0	0.0	
ascap	0.0014162297085001897	0.0	0.0	0.0	
ascapcountry	0.0014162297085001897	0.0	0.0	0.0	
ashactually	0.005664918834000759	0.0	0.0	0.0	
ashamed	0.0014162297085001897	0.0	0.0	0.0	
ashandclay	0.0014162297085001897	0.0	0.0	0.0	
ashtonssmile	0.0014162297085001897	0.0	0.0	0.0	
askatroll	0.005664918834000759	0.0	0.0	0.0	
asked	0.004248689125500569	0.0	0.0	0.0	
askjt	0.03398951300400455	0.0	0.0	0.0	
asks	0.0028324594170003794	0.0	0.0	0.0	
aslicebucketchallenge	0.0014162297085001897	0.0	0.0	0.0	
ass	0.009913607959501329	0.0	0.0	0.0	
assassin	0.0014162297085001897	0.0	0.0	0.0	
asses	0.004248689125500569	0.0	0.0	0.0	
asshole	0.0014162297085001897	0.0	0.0	0.0	
assholery	0.0014162297085001897	0.0	0.0	0.0	
assume	0.005664918834000759	0.0	0.0	0.0	
astros	0.0014162297085001897	0.0	0.0	0.0	
atcq	0.0014162297085001897	0.0	0.0	0.0	
ate	0.0014162297085001897	0.0	0.0	0.0	
athens	0.0014162297085001897	0.0	0.0	0.0	
athensville	0.0014162297085001897	0.0	0.0	0.0	
athlete	0.0014162297085001897	0.0	0.0	0.0	
athletes	7.081148542500948E-4	0.025016272049283847	0.0	0.0	
atl	0.0028324594170003794	0.0	0.0	0.0	
atlanta	0.005664918834000759	0.0	0.0	0.0	
atta	0.004248689125500569	0.0	0.0	0.0	
attacks	0.0014162297085001897	0.0	0.0	0.0	
attended	0.0014162297085001897	0.0	0.0	0.0	
attending	0.0014162297085001897	0.0	0.0	0.0	
attention	0.004248689125500569	0.0	0.0	0.0	
atthewh	0.0014162297085001897	0.0	0.0	0.0	
attproam	0.0014162297085001897	0.0	0.0	0.0	
atysyc	0.0014162297085001897	0.0	0.0	0.0	
auburn	0.0014162297085001897	0.0	0.0	0.0	
auditioned	0.0014162297085001897	0.0	0.0	0.0	
august	0.0014162297085001897	0.0	0.0	0.0	
augusta	0.0014162297085001897	0.0	0.0	0.0	
augustsweetie	0.0	0.0	0.27134925809141774	0.0	
auld	0.0014162297085001897	0.0	0.0	0.0	
aurora	0.0014162297085001897	0.0	0.0	0.0	
aussi	0.0014162297085001897	0.0	0.0	0.0	
aussies	0.0028324594170003794	0.0	0.0	0.0	
austieodyssey	0.0014162297085001897	0.0	0.0	0.0	
austin	0.005664918834000759	0.0	0.0	0.0	
australia	0.015578526793502087	0.0	0.0	0.0	
australian	0.0028324594170003794	0.0	0.0	0.0	
author	0.0	0.050032544098567694	0.0	0.0	
automatically	0.0014162297085001897	0.0	0.0	0.0	
auxxau	0.0014162297085001897	0.0	0.0	0.0	
avasangel	0.0014162297085001897	0.0	0.0	0.0	
aviv	0.0014162297085001897	0.0	0.0	0.0	
award	0.013454182230751802	0.025016272049283847	0.0	0.0	
awards	0.021243445627502845	0.0	0.0	0.0	
aware	0.0028324594170003794	0.0	0.0	0.0	
awe	7.081148542500948E-4	0.0	0.04522487634856962	0.0	
awei	0.0014162297085001897	0.0	0.0	0.0	
awesome	0.005664918834000759	0.025016272049283847	0.0	0.0	
awkward	0.0028324594170003794	0.0	0.0	0.0	
awkwardhobos	0.0014162297085001897	0.0	0.0	0.0	
awkwardly	0.0014162297085001897	0.0	0.0	0.0	
aww	0.0028324594170003794	0.0	0.0	0.0	
ay	0.0014162297085001897	0.0	0.0	0.0	
ayala	0.0014162297085001897	0.0	0.0	0.0	
ayanarosey	0.0028324594170003794	0.0	0.0	0.0	
az	0.0028324594170003794	0.0	0.0	0.0	
azcardinals	0.0014162297085001897	0.0	0.0	0.0	
