	Nounnno	styleofthesix	AHKru	shawnaoh_	RyersonU	Simon_Pella	RowanMMolloy	MacSweeneyG	SallySan_x	ATMXO_	
ayymolina	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
baby	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09036328599977039	0.08996529284223947	
backed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
backs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
bad	0.0	0.0	0.0	0.0	0.012150962056083858	0.0	0.0	0.0	0.0	0.017993058568447896	
banner	0.0	0.0	0.0	0.0	0.03476819314335691	0.0	0.0	0.0	0.0	0.0	
barbara	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
basics	0.0	0.0	0.0	0.0	0.0	0.0	0.07083470029648137	0.0	0.0	0.0	
basketball	0.0	0.0	0.0	0.0	0.1216886760017492	0.0	0.0	0.0	0.0	0.0	
baybeehmiina	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10296898840768005	
bball	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
bbd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07458281817882327	0.0	0.0	
bbg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
bc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1042623054916892	0.0	0.07197223427379158	
bday	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
beat	0.0	0.0	0.0	0.0	0.012150962056083858	0.0	0.0	0.0521311527458446	0.0	0.0	
beautiful	0.0	0.0	0.0	0.0	0.0	0.0903849586444424	0.0	0.0	0.0	0.017993058568447896	
becool	0.0	0.0	0.0	0.0	0.0	0.0	0.07083470029648137	0.0	0.0	0.0	
bed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05148449420384003	
beetle	0.0	0.0	0.0	0.0	0.03476819314335691	0.0	0.0	0.0	0.0	0.0	
best	0.0	0.0	0.0	0.0	0.012150962056083858	0.0	0.0	0.0	0.0	0.03598611713689579	
beyondmycamera	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
bianxg	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
big	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
bill	0.0	0.0	0.0	0.0	0.0	0.12931164153503685	0.0	0.0	0.0	0.0	
biologyday	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
birds	0.0	0.0	0.0	0.0	0.0	0.12931164153503685	0.0	0.0	0.0	0.0	
birthday	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
birthdays	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
bismillah	0.3770133523236564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
bit	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
bitch	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
black	0.0	0.0	0.0	0.0	0.012150962056083858	0.0	0.0	0.0521311527458446	0.0	0.0	
blame	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14916563635764654	0.0	0.0	
blast	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07458281817882327	0.0	0.0	
blitz	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
blog	0.0	0.2801760305519763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
