	TorontoStar	only1nabil	AcadieSon	AndreasKalo	RyersonU	sageryerson	TetraRyerson	mathryerson	CatsRuleNews	TheCatTweeting	sweetiepiecat	ElDiabloZoe	
abusive	0.0	0.0	0.007361480551895291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
abwc	0.0010038570401371013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
aby	0.0010038570401371013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
abyss	0.0	0.0	0.007361480551895291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
ac	0.0030115711204113035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0090738781157824	0.0	
aca	0.0	0.0	0.007361480551895291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
academics	0.0	0.0052929083454719235	0.0	0.0	0.001856567152681522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
academisation	0.0	0.0	0.007361480551895291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
academy	0.002291510735645804	0.0010983777218083947	0.0	9.75254931603928E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.013610817173673599	0.0	
academyawards	0.0	0.026464541727359618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
academynet	0.0030115711204113035	0.0	0.0	0.0	0.001856567152681522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
academypresents	0.0	0.0	0.0	0.004699599112362139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
acadian	0.0	0.0	0.007361480551895291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
acadie	0.0	0.0	0.14722961103790583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
acadiemetis	0.0	0.0	0.007361480551895291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
acadien	0.0	0.0	0.06625332496705762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
acadienb	0.0	0.0	0.007361480551895291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
acadienmetis	0.0	0.0	0.007361480551895291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
acadienouvelle	0.0	0.0	0.007361480551895291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
acadiens	0.0	0.0	0.007361480551895291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
acadierock	0.0	0.0	0.007361480551895291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
acadieson	0.0	0.0	0.06625332496705762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
acc	5.019285200685506E-4	0.010585816690943847	0.0	0.0	0.001856567152681522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
accelerates	0.0	0.0026464541727359617	0.0036807402759476454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
accent	0.0	0.0	0.0	0.004699599112362139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
accents	0.0	0.0	0.007361480551895291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
accept	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0045369390578912	0.0	
acceptable	0.0	0.0052929083454719235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0045369390578912	0.0	
acceptance	0.0	0.0052929083454719235	0.0	0.0	0.003713134305363044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
accepted	0.0020077140802742025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
accepting	5.019285200685506E-4	0.0	0.0	0.007049398668543209	0.003713134305363044	0.0	0.0	0.005388586022806831	0.0	0.0	0.0	0.0	
accepts	0.0010038570401371013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
access	0.0	0.0	0.0	0.0	0.012995970068770655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
accessibilitycant	0.0	0.0052929083454719235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
accessible	0.0	0.0	0.0	0.12688917603377775	0.007426268610726088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
accesstojustice	0.0	0.0	0.0	0.1409879733708642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
accident	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013610817173673599	0.0	
