sweetiepiecat	TheCatTweeting	only1nabil	CatsRuleNews	AndreasKalo	sageryerson	AcadieSon	mathryerson	TorontoStar	TetraRyerson	ElDiabloZoe	RyersonU
0	0	0.008001536	0	0.019327706	0	0	0	0	0	0	0
0	0	0	0	0.013402342	0	0	0	0	0	0	0
0	0.008670321	0.004906119	0	0	0	0.006768417	0	0.003732039	0	0	0
0	0	0.008001536	0	0	0	0	0	0.006086694	0	0	0
0	0.008670321	0.014718358	0	0	0	0	0	0.007464079	0	0	0.001236479
0	0	0	0	0.013402342	0	0	0	0	0	0	0
0	0	0	0	0.009663853	0	0	0	0	0	0	0.00201661
0	0	0	0	0	0	0.015309207	0	0	0	0	0
0.001461915	0	0.006190834	0	0	0	0	0	0	0	0	0.001560263
0	0.019611049	0	0	0	0	0	0	0	0	0	0
0	0	0.006190834	0	0	0	0.008540791	0	0.009418619	0	0	0
0	0	0	0	0	0	0.011038812	0	0.006086694	0	0	0
0	0	0	0	0	0	0.011038812	0	0.012173388	0	0	0
0	0	0.022193906	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.006086694	0	0	0.00201661
0.001889497	0	0	0	0	0	0	0	0.012173388	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.011186968
0	0.008670321	0.004906119	0	0	0	0	0.023817282	0.003732039	0	0	0
0	0	0	0	0	0	0.015309207	0	0	0	0	0
0	0	0	0	0.013402342	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.008441349	0	0	0
0	0	0.008001536	0	0	0	0	0	0	0	0	0.00201661
0	0	0	0	0	0	0	0	0.008441349	0	0	0
0.002620454	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.008441349	0	0	0
0.002620454	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.002796742
0.003778994	0	0.008001536	0	0	0	0	0	0	0	0	0
0.001461915	0	0.012381667	0	0.007476978	0	0	0	0	0	0	0
0.00115854	0.008670321	0.004906119	0	0	0	0	0	0.003732039	0	0	0
0.001461915	0.010940727	0	0	0	0	0	0	0.009418619	0	0	0
0	0	0	0	0.013402342	0	0	0	0	0	0	0
0.001461915	0	0.012381667	0	0	0	0	0	0.009418619	0	0	0
0	0	0	0	0	0	0	0.053871345	0	0	0	0
0.002620454	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.016882697	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.002796742
0	0	0.006190834	0	0.007476978	0	0	0	0.023546547	0	0	0
0.001461915	0	0.012381667	0	0	0	0	0	0	0	0	0.001560263
0	0.014140685	0	0	0	0	0.011038812	0	0	0	0	0
0	0	0.012381667	0	0	0	0.008540791	0	0	0	0	0.003120526
0.001461915	0	0.006190834	0	0	0	0	0	0	0	0	0.001560263
0	0	0	0	0	0	0.030618415	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.002796742
0	0	0.004906119	0	0.011850729	0	0.006768417	0	0.003732039	0	0	0
0	0	0	0	0.007476978	0	0.008540791	0	0	0	0	0.001560263
0	0.010940727	0.006190834	0	0	0	0	0	0	0	0	0.001560263
0	0	0	0	0	0	0	0	0.025324046	0	0	0
0	0	0.011096953	0	0	0	0	0	0	0	0	0
0.001889497	0	0.008001536	0	0	0	0	0	0	0	0	0
0	0	0.008001536	0	0	0	0	0	0.012173388	0	0	0
0.002620454	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.009663853	0	0	0	0.006086694	0	0	0
0.001889497	0	0	0	0	0	0	0	0	0	0	0.00201661
0	0	0	0	0	0	0	0	0	0	0	0.002796742
0	0	0.012381667	0	0.007476978	0	0.008540791	0	0	0	0	0
9.23E-04	0	0.003909618	0	0.00944368	0	0.005393656	0	0	0	0	9.85E-04
0	0	0.016003073	0	0	0	0	0	0.024346776	0	0	0
0	0	0	0	0.009663853	0	0.011038812	0	0	0	0	0
0	0.008670321	0.009812239	0	0	0	0.006768417	0	0.011196118	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.008390226
0	0	0	0	0	0	0.008540791	0	0.004709309	0	0	0.003120526
0.002620454	0	0	0	0	0	0	0	0	0	0	0
0	0.010940727	0	0	0	0	0	0.030054064	0.009418619	0	0	0
0	0	0	0	0	0	0	0	0.025324046	0	0	0
9.23E-04	0.006909258	0.003909618	0	0	0	0	0	0.00892203	0	0.091189988	0
0.001889497	0	0	0	0	0	0	0	0	0	0	0.004033221
0.001889497	0	0	0	0.009663853	0	0	0	0	0	0	0
0	0.014140685	0	0	0	0	0	0	0.018260082	0	0	0
0	0.014140685	0	0	0	0	0	0	0	0	0	0.004033221
0	0	0	0	0	0	0.015309207	0	0	0	0	0
0	0	0	0	0.019327706	0	0	0	0	0	0	0.00201661
0	0	0.006190834	0	0	0	0.008540791	0	0.004709309	0	0	0
0	0	0	0	0	0	0	0	0.016882697	0	0	0
0	0	0	0	0	0	0.008540791	0.030054064	0.004709309	0	0	0
0	0	0.012381667	0	0	0	0	0	0.009418619	0	0	0.003120526
0	0	0.008001536	0	0	0	0	0	0	0	0	0.00201661
0	0	0	0	0	0	0	0	0.016882697	0	0	0
0	0	0.011096953	0	0	0	0	0	0	0	0	0
0	0	0	0	0.040207026	0	0	0	0	0	0	0
0	0	0	0	0.007476978	0	0	0	0.004709309	0	0	0.001560263
0	0	0.007819236	0	0.00472184	0	0.010787313	0	0.00594802	0	0	9.85E-04
0	0	0	0	0.022430933	0	0.008540791	0	0.009418619	0	0	0
0.001461915	0.010940727	0.012381667	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.011038812	0	0	0	0	0.00201661
0	0.010940727	0	0	0.007476978	0	0	0	0.009418619	0	0	0
